name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
Erling Haaland,Centre-Forward,21,150,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60,FALSE
Antony,Right Winger,22,35,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,95,FALSE
Wesley Fofana,Centre-Back,21,40,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80.4,FALSE
Darwin Núñez,Centre-Forward,23,55,Portugal,Liga Portugal,SL Benfica,England,Premier League,Liverpool FC,75,FALSE
Casemiro,Defensive Midfield,30,40,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70.65,FALSE
Alexander Isak,Centre-Forward,22,30,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70,FALSE
Matthijs de Ligt,Centre-Back,22,70,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67,FALSE
Raheem Sterling,Left Winger,27,70,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56.2,FALSE
Sadio Mané,Left Winger,30,70,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32,FALSE
Romelu Lukaku,Centre-Forward,29,70,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,8,TRUE
Marc Cucurella,Left-Back,24,28,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65.3,FALSE
Federico Chiesa,Right Winger,24,65,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,40,FALSE
Jules Koundé,Centre-Back,23,60,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50,FALSE
Richarlison,Centre-Forward,25,48,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58,FALSE
Raphinha,Right Winger,25,45,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58,FALSE
Lisandro Martínez,Centre-Back,24,32,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,57.37,FALSE
Fabián Ruiz,Central Midfield,26,55,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23,FALSE
Gabriel Jesus,Centre-Forward,25,50,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52.2,FALSE
Cristian Romero,Centre-Back,24,48,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50,FALSE
Kalvin Phillips,Defensive Midfield,26,50,England,Premier League,Leeds United,England,Premier League,Manchester City,49,FALSE
Carlos Soler,Central Midfield,25,50,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18,FALSE
Paul Pogba,Central Midfield,29,48,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,0,FALSE
Robert Lewandowski,Centre-Forward,33,45,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45,FALSE
Matheus Nunes,Central Midfield,23,35,Portugal,Liga Portugal,Sporting CP,England,Premier League,Wolverhampton Wanderers,45,FALSE
Franck Kessié,Central Midfield,25,45,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,0,FALSE
Lucas Paquetá,Attacking Midfield,25,35,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42.95,FALSE
Amine Gouiri,Centre-Forward,22,42,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28,FALSE
Vitinha,Central Midfield,22,30,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41.5,FALSE
Bremer,Centre-Back,25,35,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41,FALSE
Nuno Mendes,Left-Back,20,40,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38,FALSE
Gonçalo Guedes,Left Winger,25,40,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32.6,FALSE
Diego Carlos,Centre-Back,29,40,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31,FALSE
Antonio Rüdiger,Centre-Back,29,40,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,0,FALSE
Kalidou Koulibaly,Centre-Back,31,35,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38,FALSE
Sven Botman,Centre-Back,22,30,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37,FALSE
Gianluca Scamacca,Centre-Forward,23,30,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,36,FALSE
Fábio Vieira,Attacking Midfield,22,25,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35,FALSE
Nayef Aguerd,Centre-Back,26,12,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35,FALSE
Oleksandr Zinchenko,Left-Back,25,25,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35,FALSE
Amadou Onana,Defensive Midfield,20,10,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35,FALSE
Sébastien Haller,Centre-Forward,28,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31,FALSE
Yves Bissouma,Central Midfield,25,35,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29.2,FALSE
Timo Werner,Centre-Forward,26,35,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20,FALSE
Ryan Gravenberch,Central Midfield,20,35,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18.5,FALSE
Niklas Süle,Centre-Back,26,35,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,0,FALSE
Andreas Christensen,Centre-Back,26,35,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,0,FALSE
Paulo Dybala,Second Striker,28,35,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,0,FALSE
Nico Schlotterbeck,Centre-Back,22,33,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20,FALSE
Steven Bergwijn,Left Winger,24,18,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31.25,FALSE
Manuel Akanji,Centre-Back,27,30,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,17.5,FALSE
André Zambo Anguissa,Defensive Midfield,26,30,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,15,FALSE
Renan Lodi,Left-Back,24,30,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5,TRUE
Tanguy Ndombélé,Central Midfield,25,30,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,0.5,TRUE
Angeliño,Left-Back,25,30,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,0,TRUE
Morgan Gibbs-White,Attacking Midfield,22,11,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29.5,FALSE
Renato Sanches,Central Midfield,24,28,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15,FALSE
Leander Dendoncker,Defensive Midfield,27,28,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15,FALSE
Giacomo Raspadori,Second Striker,22,28,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5,TRUE
Hugo Ekitiké,Centre-Forward,20,28,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,0,TRUE
Xaver Schlager,Central Midfield,24,27,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12,FALSE
Denis Zakaria,Defensive Midfield,25,27,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3,TRUE
David Raum,Left-Back,24,20,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26,FALSE
Luis Sinisterra,Left Winger,23,25,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25,FALSE
Merih Demiral,Centre-Back,24,25,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,20,FALSE
João Palhinha,Defensive Midfield,26,25,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,20,FALSE
Sasa Kalajdzic,Centre-Forward,25,25,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18,FALSE
Mattéo Guendouzi,Central Midfield,23,25,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11,FALSE
Pedro Porro,Right-Back,22,25,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8.5,FALSE
Lucas Ocampos,Left Winger,28,25,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4,TRUE
Boubacar Kamara,Defensive Midfield,22,25,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,0,FALSE
Conor Coady,Centre-Back,29,25,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,0,TRUE
Nicolas Pépé,Right Winger,27,25,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,0,TRUE
Callum Hudson-Odoi,Right Winger,21,25,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,0,TRUE
Sergio Reguilón,Left-Back,25,25,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,0,TRUE
Filip Kostic,Left Midfield,29,24,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,12,FALSE
Joaquín Correa,Second Striker,27,23,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,23.6,FALSE
Jérémie Boga,Left Winger,25,19,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22,FALSE
Thilo Kehrer,Centre-Back,25,22,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12,FALSE
Cengiz Ünder,Right Winger,24,22,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,8.4,FALSE
Giovani Lo Celso,Central Midfield,26,22,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,0,TRUE
Julian Weigl,Defensive Midfield,26,22,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,0,TRUE
Jan Bednarek,Centre-Back,26,22,England,Premier League,Southampton FC,England,Premier League,Aston Villa,0,TRUE
Éderson,Central Midfield,22,13,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Atalanta BC,21,FALSE
Taiwo Awoniyi,Centre-Forward,24,20,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20.5,FALSE
Philippe Coutinho,Left Winger,30,20,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20,FALSE
David Carmo,Centre-Back,22,15,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20,FALSE
Neco Williams,Right-Back,21,8,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20,FALSE
Mathys Tel,Centre-Forward,17,2,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Bayern Munich,20,FALSE
Nahuel Molina,Right-Back,24,20,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20,FALSE
Arnaud Kalimuendo,Centre-Forward,20,18,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20,FALSE
Umar Sadiq,Centre-Forward,25,18,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20,FALSE
Pervis Estupiñán,Left-Back,24,20,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17.8,FALSE
Nordi Mukiele,Right-Back,24,20,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12,FALSE
Remo Freuler,Central Midfield,30,20,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9,FALSE
Lucas Torreira,Defensive Midfield,26,20,England,Premier League,Arsenal FC,Turkey,Süper Lig,Galatasaray,6,FALSE
Francisco Trincão,Right Winger,22,20,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3,TRUE
Antonin Barak,Attacking Midfield,27,20,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1.5,TRUE
Noussair Mazraoui,Right-Back,24,20,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,0,FALSE
Christian Eriksen,Attacking Midfield,30,20,England,Premier League,Brentford FC,England,Premier League,Manchester United,0,FALSE
Andrea Pinamonti,Centre-Forward,23,20,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,0,TRUE
Nico González,Central Midfield,20,20,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,0,TRUE
Andrea Belotti,Centre-Forward,28,20,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,0,FALSE
Héctor Bellerín,Right-Back,27,20,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,0,FALSE
Arthur Theate,Centre-Back,22,15,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19,FALSE
Min-jae Kim,Centre-Back,25,14,Turkey,Süper Lig,Fenerbahce,Italy,Serie A,SSC Napoli,18.05,FALSE
Carney Chukwuemeka,Central Midfield,18,6,England,Premier League,Aston Villa,England,Premier League,Chelsea FC,18,FALSE
Destiny Udogie,Left-Back,19,17,Italy,Serie A,Udinese Calcio,England,Premier League,Tottenham Hotspur,18,FALSE
Aaron Hickey,Left-Back,20,18,Italy,Serie A,Bologna FC 1909,England,Premier League,Brentford FC,16.5,FALSE
Gaëtan Laborde,Centre-Forward,28,18,France,Ligue 1,Stade Rennais FC,France,Ligue 1,OGC Nice,15,FALSE
Brais Méndez,Right Winger,25,18,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Real Sociedad,14,FALSE
Neal Maupay,Centre-Forward,26,18,England,Premier League,Brighton & Hove Albion,England,Premier League,Everton FC,11.8,FALSE
Moussa Niakhaté,Centre-Back,26,18,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Nottingham Forest,10,FALSE
Mattia Zaccagni,Attacking Midfield,27,18,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7.1,FALSE
Zeki Celik,Right-Back,25,18,France,Ligue 1,LOSC Lille,Italy,Serie A,AS Roma,7,FALSE
Arthur Melo,Central Midfield,26,18,Italy,Serie A,Juventus FC,England,Premier League,Liverpool FC,4.5,TRUE
Julian Draxler,Left Winger,28,18,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Portugal,SL Benfica,2.5,TRUE
Abdou Diallo,Centre-Back,26,18,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,1.5,TRUE
Matthias Ginter,Centre-Back,28,18,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,SC Freiburg,0,FALSE
Jesse Lingard,Attacking Midfield,29,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,FALSE
Dean Henderson,Goalkeeper,25,18,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,TRUE
Alex Telles,Left-Back,29,18,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,0,TRUE
Georginio Wijnaldum,Central Midfield,31,18,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,0,TRUE
Sergiño Dest,Right-Back,21,18,Spain,LaLiga,FC Barcelona,Italy,Serie A,AC Milan,0,TRUE
André Gomes,Central Midfield,29,18,England,Premier League,Everton FC,France,Ligue 1,LOSC Lille,0,TRUE
Daniel James,Right Winger,24,18,England,Premier League,Leeds United,England,Premier League,Fulham FC,0,TRUE
Issa Diop,Centre-Back,25,10,England,Premier League,West Ham United,England,Premier League,Fulham FC,17.8,FALSE
Matt Targett,Left-Back,26,17,England,Premier League,Aston Villa,England,Premier League,Newcastle United,17.5,FALSE
Tyler Adams,Defensive Midfield,23,17,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17,FALSE
Wout Faes,Centre-Back,24,10,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17,FALSE
Tyrell Malacia,Left-Back,22,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15,FALSE
Marcos Senesi,Centre-Back,25,17,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15,FALSE
Jordan Veretout,Central Midfield,29,17,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11,FALSE
Destiny Udogie,Left-Back,19,17,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4,FALSE
Giovanni Simeone,Centre-Forward,27,17,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3.5,TRUE
Alessio Romagnoli,Centre-Back,27,17,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,0,FALSE
Chancel Mbemba,Centre-Back,27,17,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,0,FALSE
Destiny Udogie,Left-Back,19,17,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,0,TRUE
Leandro Paredes,Defensive Midfield,28,17,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,0,TRUE
Kasper Dolberg,Centre-Forward,24,17,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,0,TRUE
Yusuf Yazici,Attacking Midfield,25,17,France,Ligue 1,LOSC Lille,Turkey,Süper Lig,Trabzonspor,0,TRUE
Hee-chan Hwang,Centre-Forward,26,16,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16.7,FALSE
Brian Brobbey,Centre-Forward,20,9,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16.35,FALSE
Tanguy Nianzou,Centre-Back,20,9,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16,FALSE
Duje Caleta-Car,Centre-Back,25,16,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,10,FALSE
Jeremiah St. Juste,Centre-Back,25,16,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,9.5,FALSE
Arkadiusz Milik,Centre-Forward,28,16,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8,FALSE
Arkadiusz Milik,Centre-Forward,28,16,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,0.9,TRUE
Randal Kolo Muani,Centre-Forward,23,16,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,0,FALSE
Luiz Felipe,Centre-Back,25,16,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,0,FALSE
Matteo Pessina,Attacking Midfield,25,16,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,0,TRUE
Luka Jović,Centre-Forward,24,16,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,0,FALSE
Bertrand Traoré,Right Winger,26,16,England,Premier League,Aston Villa,Turkey,Süper Lig,Basaksehir FK,0,TRUE
Dele Alli,Attacking Midfield,26,16,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,0,TRUE
Cheick Doucouré,Defensive Midfield,22,15,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22.6,FALSE
Mikkel Damsgaard,Left Winger,22,15,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15,FALSE
Éverton,Left Winger,26,15,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Clube de Regatas do Flamengo,13.5,FALSE
Orel Mangala,Central Midfield,24,15,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13,FALSE
