name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
Carles Pérez,Right Winger,24,6,Italy,Serie A,AS Roma,Spain,LaLiga,Celta de Vigo,1,TRUE
Florent Mollet,Attacking Midfield,30,6,France,Ligue 1,Montpellier HSC,Germany,Bundesliga,FC Schalke 04,0.5,FALSE
Tino Kadewere,Centre-Forward,26,6,France,Ligue 1,Olympique Lyon,Spain,LaLiga,RCD Mallorca,0.4,TRUE
Mergim Berisha,Centre-Forward,24,6,Turkey,Süper Lig,Fenerbahce,Germany,Bundesliga,FC Augsburg,0.3,TRUE
Bruma,Left Winger,27,6,Netherlands,Eredivisie,PSV Eindhoven,Turkey,Süper Lig,Fenerbahce,0,TRUE
Ki-Jana Hoever,Right-Back,20,6,England,Premier League,Wolverhampton Wanderers,Netherlands,Eredivisie,PSV Eindhoven,0,TRUE
Ermedin Demirovic,Centre-Forward,24,6,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,FC Augsburg,0,FALSE
Luis Henrique,Left Winger,20,6,France,Ligue 1,Olympique Marseille,Brazil,Série A,Botafogo de Futebol e Regatas,0,TRUE
Sávio,Right Winger,18,6,France,Ligue 1,ESTAC Troyes,Netherlands,Eredivisie,PSV Eindhoven,0,TRUE
Nehuén Pérez,Centre-Back,22,6,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Udinese Calcio,0,FALSE
Óscar Mingueza,Centre-Back,23,6,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,0,FALSE
Valentino Lazaro,Right Midfield,26,6,Italy,Serie A,Inter Milan,Italy,Serie A,Torino FC,0,TRUE
Marin Pongracic,Centre-Back,24,6,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,US Lecce,0,TRUE
Alexis Claude-Maurice,Attacking Midfield,24,6,France,Ligue 1,OGC Nice,France,Ligue 1,RC Lens,0,TRUE
Jordan Amavi,Left-Back,28,6,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Getafe CF,0,TRUE
Martin Braithwaite,Centre-Forward,31,6,Spain,LaLiga,FC Barcelona,Spain,LaLiga,RCD Espanyol Barcelona,0,FALSE
Johan Mojica,Left-Back,30,5,Spain,LaLiga,Elche CF,Spain,LaLiga,Villarreal CF,5.5,FALSE
Arne Maier,Central Midfield,23,5.5,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,FC Augsburg,5,FALSE
Alessandro Florenzi,Right-Back,31,5.5,Italy,Serie A,AS Roma,Italy,Serie A,AC Milan,2.7,FALSE
Anthony Modeste,Centre-Forward,34,3,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,Borussia Dortmund,5.1,FALSE
Petar Musa,Centre-Forward,24,5,Portugal,Liga Portugal,Boavista FC,Portugal,Liga Portugal,SL Benfica,5,FALSE
Salis Abdul Samed,Defensive Midfield,22,3,France,Ligue 1,Clermont Foot 63,France,Ligue 1,RC Lens,5,FALSE
Ko Itakura,Centre-Back,25,5,England,Premier League,Manchester City,Germany,Bundesliga,Borussia Mönchengladbach,5,FALSE
Brice Samba,Goalkeeper,28,2.5,England,Premier League,Nottingham Forest,France,Ligue 1,RC Lens,5,FALSE
Domagoj Bradaric,Left-Back,22,3.5,France,Ligue 1,LOSC Lille,Italy,Serie A,US Salernitana 1919,5,FALSE
Leo Östigard,Centre-Back,22,5,England,Premier League,Brighton & Hove Albion,Italy,Serie A,SSC Napoli,5,FALSE
Federico Bonazzoli,Centre-Forward,25,5,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,5,FALSE
Tabata,Right Winger,25,4,Portugal,Liga Portugal,Sporting CP,Brazil,Série A,Sociedade Esportiva Palmeiras,5,FALSE
Igor Paixão,Left Winger,22,0.8,Brazil,Série A,Coritiba Foot Ball Club,Netherlands,Eredivisie,Feyenoord Rotterdam,5,FALSE
Ignatius Ganago,Centre-Forward,23,5,France,Ligue 1,RC Lens,France,Ligue 1,FC Nantes,4.4,FALSE
Maxim Leitsch,Centre-Back,24,5,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FSV Mainz 05,3.5,FALSE
Stephen Eustaquio,Defensive Midfield,25,5,Portugal,Liga Portugal,FC Paços de Ferreira,Portugal,Liga Portugal,FC Porto,3.5,FALSE
Lincoln,Attacking Midfield,23,5,Portugal,Liga Portugal,CD Santa Clara,Turkey,Süper Lig,Fenerbahce,3.5,FALSE
Pablo Maffeo,Right-Back,24,5,Germany,Bundesliga,VfB Stuttgart,Spain,LaLiga,RCD Mallorca,3,FALSE
Simon Banza,Centre-Forward,25,5,France,Ligue 1,RC Lens,Portugal,Liga Portugal,SC Braga,3,FALSE
Abdülkerim Bardakci,Centre-Back,27,5,Turkey,Süper Lig,Konyaspor,Turkey,Süper Lig,Galatasaray,2.8,FALSE
Jimmy Cabot,Right Midfield,28,5,France,Ligue 1,Angers SCO,France,Ligue 1,RC Lens,2,FALSE
Umut Bozok,Centre-Forward,25,5,France,Ligue 1,FC Lorient,Turkey,Süper Lig,Trabzonspor,2,FALSE
Lucas Perrin,Centre-Back,23,5,France,Ligue 1,Olympique Marseille,France,Ligue 1,RC Strasbourg Alsace,1.5,FALSE
Dominik Kohr,Central Midfield,28,5,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,1.5,FALSE
Ludwig Augustinsson,Left-Back,28,5,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,0.5,TRUE
Tonny Vilhena,Central Midfield,27,5,Spain,LaLiga,RCD Espanyol Barcelona,Italy,Serie A,US Salernitana 1919,0.3,TRUE
Nemanja Matić,Defensive Midfield,33,5,England,Premier League,Manchester United,Italy,Serie A,AS Roma,0,FALSE
Andrea Cambiaso,Left-Back,22,5,Italy,Serie A,Juventus FC,Italy,Serie A,Bologna FC 1909,0,TRUE
Ronaël Pierre-Gabriel,Right-Back,24,5,Germany,Bundesliga,1.FSV Mainz 05,France,Ligue 1,RC Strasbourg Alsace,0,TRUE
Yan Couto,Right-Back,20,5,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,TRUE
Rúben Vinagre,Left-Back,23,5,Portugal,Liga Portugal,Sporting CP,England,Premier League,Everton FC,0,TRUE
Riechedly Bazoer,Central Midfield,25,5,Netherlands,Eredivisie,Vitesse Arnhem,Netherlands,Eredivisie,AZ Alkmaar,0,FALSE
Arthur Masuaku,Left-Back,28,5,England,Premier League,West Ham United,Turkey,Süper Lig,Besiktas JK,0,TRUE
Shane Duffy,Centre-Back,30,5,England,Premier League,Brighton & Hove Albion,England,Premier League,Fulham FC,0,TRUE
Gonzalo Villar,Central Midfield,24,5,Italy,Serie A,AS Roma,Italy,Serie A,UC Sampdoria,0,TRUE
Pablo Marí,Centre-Back,28,5,England,Premier League,Arsenal FC,Italy,Serie A,AC Monza,0,TRUE
Gabriel Pires,Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Botafogo de Futebol e Regatas,0,TRUE
Antonio Blanco,Defensive Midfield,22,5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,0,TRUE
Junior Dina Ebimbe,Central Midfield,21,5,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Eintracht Frankfurt,0,TRUE
Sepp van den Berg,Centre-Back,20,5,England,Premier League,Liverpool FC,Germany,Bundesliga,FC Schalke 04,0,TRUE
Oriol Romeu,Defensive Midfield,30,5,England,Premier League,Southampton FC,Spain,LaLiga,Girona FC,0,FALSE
Simone Verdi,Attacking Midfield,30,5,Italy,Serie A,Torino FC,Italy,Serie A,Hellas Verona,0,TRUE
Layvin Kurzawa,Left-Back,29,5,France,Ligue 1,Paris Saint-Germain,England,Premier League,Fulham FC,0,TRUE
Soualiho Meïté,Central Midfield,28,5,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,US Cremonese,0,TRUE
Mads Bech Sörensen,Centre-Back,23,5,England,Premier League,Brentford FC,France,Ligue 1,OGC Nice,0,TRUE
Emirhan Ilkhan,Central Midfield,18,3,Turkey,Süper Lig,Besiktas JK,Italy,Serie A,Torino FC,4.5,FALSE
Luca Kilian,Centre-Back,22,4.5,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,1. FC Köln,2,FALSE
Gabriel Pirani,Attacking Midfield,20,4.5,Brazil,Série A,Santos FC,Brazil,Série A,Cuiabá Esporte Clube (MT),0,TRUE
Michael Gregoritsch,Centre-Forward,28,4.5,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,SC Freiburg,0,FALSE
Junior Sambia,Right-Back,25,4.5,France,Ligue 1,Montpellier HSC,Italy,Serie A,US Salernitana 1919,0,FALSE
Can Bozdogan,Central Midfield,21,4.3,Germany,Bundesliga,FC Schalke 04,Netherlands,Eredivisie,FC Utrecht,0.5,TRUE
Stefano Denswil,Centre-Back,29,4.2,Italy,Serie A,Bologna FC 1909,Turkey,Süper Lig,Trabzonspor,0,FALSE
Jens Odgaard,Centre-Forward,23,2,Italy,Serie A,US Sassuolo,Netherlands,Eredivisie,AZ Alkmaar,4.1,FALSE
Michele Di Gregorio,Goalkeeper,24,3.8,Italy,Serie A,Inter Milan,Italy,Serie A,AC Monza,4,FALSE
Enzo Ebosse,Left-Back,23,2,France,Ligue 1,Angers SCO,Italy,Serie A,Udinese Calcio,4,FALSE
André Franco,Attacking Midfield,24,3.5,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,FC Porto,4,FALSE
Arthur Gomes,Left Winger,24,1.5,Portugal,Liga Portugal,GD Estoril Praia,Portugal,Liga Portugal,Sporting CP,4,FALSE
Hidemasa Morita,Defensive Midfield,27,4,Portugal,Liga Portugal,CD Santa Clara,Portugal,Liga Portugal,Sporting CP,3.8,FALSE
Alejandro Pozo,Right-Back,23,4,Spain,LaLiga,Sevilla FC,Spain,LaLiga,UD Almería,3,FALSE
Luuk de Jong,Centre-Forward,31,4,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,PSV Eindhoven,3,FALSE
Martin Dúbravka,Goalkeeper,33,4,England,Premier League,Newcastle United,England,Premier League,Manchester United,2.31,TRUE
Elvis Rexhbecaj,Central Midfield,24,4,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,FC Augsburg,1.7,FALSE
Michal Sadilek,Defensive Midfield,23,4,Netherlands,Eredivisie,PSV Eindhoven,Netherlands,Eredivisie,Twente Enschede FC,1.5,FALSE
Agustín Marchesín,Goalkeeper,34,4,Portugal,Liga Portugal,FC Porto,Spain,LaLiga,Celta de Vigo,1,FALSE
Kasper Schmeichel,Goalkeeper,35,4,England,Premier League,Leicester City,France,Ligue 1,OGC Nice,1,FALSE
Tom Krauß,Central Midfield,21,4,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,FC Schalke 04,0.5,TRUE
Falaye Sacko,Right-Back,27,4,Portugal,Liga Portugal,Vitória Guimarães SC,France,Ligue 1,Montpellier HSC,0.5,TRUE
Bartosz Bialek,Centre-Forward,20,4,Germany,Bundesliga,VfL Wolfsburg,Netherlands,Eredivisie,Vitesse Arnhem,0.2,TRUE
Unai López,Central Midfield,26,4,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Rayo Vallecano,0,FALSE
Danilho Doekhi,Centre-Back,24,4,Netherlands,Eredivisie,Vitesse Arnhem,Germany,Bundesliga,1.FC Union Berlin,0,FALSE
Danilo,Centre-Forward,23,4,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,Feyenoord Rotterdam,0,FALSE
Edinson Cavani,Centre-Forward,35,4,England,Premier League,Manchester United,Spain,LaLiga,Valencia CF,0,FALSE
Stéphane Bahoken,Centre-Forward,30,4,France,Ligue 1,Angers SCO,Turkey,Süper Lig,Kasimpasa,0,FALSE
Jonjoe Kenny,Right-Back,25,4,England,Premier League,Everton FC,Germany,Bundesliga,Hertha BSC,0,FALSE
Xavi Simons,Attacking Midfield,19,4,France,Ligue 1,Paris Saint-Germain,Netherlands,Eredivisie,PSV Eindhoven,0,FALSE
Akim Zedadka,Right-Back,27,4,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,0,FALSE
Roberto Piccoli,Centre-Forward,21,4,Italy,Serie A,Atalanta BC,Italy,Serie A,Hellas Verona,0,TRUE
Axel Witsel,Defensive Midfield,33,4,Germany,Bundesliga,Borussia Dortmund,Spain,LaLiga,Atlético de Madrid,0,FALSE
Nemanja Radonjić,Left Winger,26,4,France,Ligue 1,Olympique Marseille,Italy,Serie A,Torino FC,0,TRUE
Sergio Asenjo,Goalkeeper,33,4,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Real Valladolid CF,0,FALSE
Joseba Zaldua,Right-Back,30,4,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Cádiz CF,0,FALSE
Samu Castillejo,Right Winger,27,4,Italy,Serie A,AC Milan,Spain,LaLiga,Valencia CF,0,FALSE
Oussama Idrissi,Left Winger,26,4,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Feyenoord Rotterdam,0,TRUE
Filip Djuricic,Attacking Midfield,30,4,Italy,Serie A,US Sassuolo,Italy,Serie A,UC Sampdoria,0,FALSE
Eduardo Quaresma,Centre-Back,20,4,Portugal,Liga Portugal,Sporting CP,Germany,Bundesliga,TSG 1899 Hoffenheim,0,TRUE
Jean-Paul Boëtius,Attacking Midfield,28,4,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,Hertha BSC,0,FALSE
Dries Mertens,Centre-Forward,35,4,Italy,Serie A,SSC Napoli,Turkey,Süper Lig,Galatasaray,0,FALSE
Cheikhou Kouyaté,Defensive Midfield,32,4,England,Premier League,Crystal Palace,England,Premier League,Nottingham Forest,0,FALSE
Álex Collado,Attacking Midfield,23,4,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Elche CF,0,TRUE
Issa Kaboré,Right-Back,21,4,England,Premier League,Manchester City,France,Ligue 1,Olympique Marseille,0,TRUE
Francisco Moura,defence,23,4,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Famalicão,0,TRUE
Rony Lopes,Right Winger,26,4,Spain,LaLiga,Sevilla FC,France,Ligue 1,ESTAC Troyes,0,TRUE
Adrián Embarba,Right Winger,30,4,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,UD Almería,0,FALSE
Erison,Centre-Forward,23,4,Brazil,Série A,Botafogo de Futebol e Regatas,Portugal,Liga Portugal,GD Estoril Praia,0,TRUE
Janis Antiste,Centre-Forward,20,4,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Sassuolo,0,TRUE
Willian,Right Winger,34,4,Brazil,Série A,Sport Club Corinthians Paulista,England,Premier League,Fulham FC,0,FALSE
Francesco Acerbi,Centre-Back,34,4,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,0,TRUE
Charles Pickel,Defensive Midfield,25,2.5,Portugal,Liga Portugal,FC Famalicão,Italy,Serie A,US Cremonese,3.8,FALSE
Eren Elmali,Left-Back,21,3.2,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Trabzonspor,3.6,FALSE
Francesco Caputo,Centre-Forward,34,2.5,Italy,Serie A,US Sassuolo,Italy,Serie A,UC Sampdoria,3.5,FALSE
Jackson Porozo,Centre-Back,21,3,Portugal,Liga Portugal,Boavista FC,France,Ligue 1,ESTAC Troyes,3.5,FALSE
Robin Olsen,Goalkeeper,32,2,Italy,Serie A,AS Roma,England,Premier League,Aston Villa,3.5,FALSE
Ivan Provedel,Goalkeeper,28,3.5,Italy,Serie A,Spezia Calcio,Italy,Serie A,SS Lazio,2,FALSE
Rodrigo Zalazar,Attacking Midfield,22,3.5,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,FC Schalke 04,1.5,FALSE
Sargis Adamyan,Centre-Forward,29,3.5,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,1. FC Köln,1.5,FALSE
Naci Ünüvar,Left Winger,19,3.5,Netherlands,Eredivisie,Ajax Amsterdam,Turkey,Süper Lig,Trabzonspor,0.15,TRUE
Janik Haberer,Central Midfield,28,3.5,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,1.FC Union Berlin,0,FALSE
Mihailo Ristić,Left-Back,26,3.5,France,Ligue 1,Montpellier HSC,Portugal,Liga Portugal,SL Benfica,0,FALSE
Lorenzo Colombo,Centre-Forward,20,3.5,Italy,Serie A,AC Milan,Italy,Serie A,US Lecce,0,TRUE
Ionut Radu,Goalkeeper,25,3.5,Italy,Serie A,Inter Milan,Italy,Serie A,US Cremonese,0,TRUE
Marlon,Left-Back,25,3.5,Brazil,Série A,Fluminense Football Club,Turkey,Süper Lig,MKE Ankaragücü,0,FALSE
Ferro,Centre-Back,25,3.5,Portugal,Liga Portugal,SL Benfica,Netherlands,Eredivisie,Vitesse Arnhem,0,TRUE
Mattia Caldara,Centre-Back,28,3.5,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,0,TRUE
Lucas Halter,Centre-Back,22,3.5,Brazil,Série A,Club Athletico Paranaense,Brazil,Série A,Goiás Esporte Clube,0,TRUE
Matías Vecino,Central Midfield,30,3.5,Italy,Serie A,Inter Milan,Italy,Serie A,SS Lazio,0,FALSE
Alexis Sánchez,Left Winger,33,3.5,Italy,Serie A,Inter Milan,France,Ligue 1,Olympique Marseille,0,FALSE
Danilo Barbosa,Defensive Midfield,26,3.5,France,Ligue 1,OGC Nice,Brazil,Série A,Botafogo de Futebol e Regatas,0,FALSE
Marko Pjaca,Left Winger,27,3.5,Italy,Serie A,Juventus FC,Italy,Serie A,FC Empoli,0,TRUE
Berke Özer,Goalkeeper,22,3.5,Turkey,Süper Lig,Fenerbahce,Portugal,Liga Portugal,Portimonense SC,0,FALSE
Ahmed Musa,Right Winger,29,3.4,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Sivasspor,0,FALSE
Ebrima Colley,Left Winger,22,3.2,Italy,Serie A,Atalanta BC,Turkey,Süper Lig,Fatih Karagümrük,0,TRUE
Abdou Harroui,Central Midfield,24,3,Netherlands,Eredivisie,Sparta Rotterdam,Italy,Serie A,US Sassuolo,3,FALSE
Mamadou Coulibaly,Central Midfield,23,2.5,Italy,Serie A,Udinese Calcio,Italy,Serie A,US Salernitana 1919,3,FALSE
Leonardo Mancuso,Centre-Forward,30,2.7,Italy,Serie A,FC Empoli,Italy,Serie A,AC Monza,3,FALSE
Gui Guedes,Central Midfield,20,0.5,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,UD Almería,3,FALSE
Bafodé Diakité,Centre-Back,21,3,France,Ligue 1,FC Toulouse,France,Ligue 1,LOSC Lille,3,FALSE
Thierno Baldé,Right-Back,20,2,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,ESTAC Troyes,3,FALSE
Arkadiusz Reca,Left-Back,27,3,Italy,Serie A,Atalanta BC,Italy,Serie A,Spezia Calcio,2,FALSE
Rochinha,Left Winger,27,3,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,Sporting CP,2,FALSE
Cédric Hountondji,Centre-Back,28,3,France,Ligue 1,Clermont Foot 63,France,Ligue 1,Angers SCO,2,FALSE
Nathan,Right-Back,20,3,Portugal,Liga Portugal,Boavista FC,Brazil,Série A,Santos FC,2,FALSE
Abdul Mumin,Centre-Back,24,3,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,Rayo Vallecano,1.5,FALSE
Eric Martel,Defensive Midfield,20,3,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,1. FC Köln,1.2,FALSE
Jasper Cillessen,Goalkeeper,33,3,Spain,LaLiga,Valencia CF,Netherlands,Eredivisie,NEC Nijmegen,1,FALSE
Sebastiano Luperto,Centre-Back,25,3,Italy,Serie A,SSC Napoli,Italy,Serie A,FC Empoli,0.5,TRUE
Ajdin Hrustic,Attacking Midfield,26,3,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Hellas Verona,0.5,FALSE
Alexander Schwolow,Goalkeeper,30,3,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,FC Schalke 04,0.3,TRUE
Houboulang Mendes,Right-Back,24,3,France,Ligue 1,FC Lorient,Spain,LaLiga,UD Almería,0,FALSE
Gonçalo Esteves,Right-Back,18,3,Portugal,Liga Portugal,Sporting CP,Portugal,Liga Portugal,GD Estoril Praia,0,TRUE
Matteo Cancellieri,Right Winger,20,3,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,0,TRUE
Modibo Sagnan,Centre-Back,23,3,Spain,LaLiga,Real Sociedad,Netherlands,Eredivisie,FC Utrecht,0,TRUE
Evann Guessand,Centre-Forward,21,3,France,Ligue 1,OGC Nice,France,Ligue 1,FC Nantes,0,TRUE
Wladimiro Falcone,Goalkeeper,27,3,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Lecce,0,TRUE
Jarrad Branthwaite,Centre-Back,20,3,England,Premier League,Everton FC,Netherlands,Eredivisie,PSV Eindhoven,0,TRUE
Rubén Blanco,Goalkeeper,26,3,Spain,LaLiga,Celta de Vigo,France,Ligue 1,Olympique Marseille,0,TRUE
James Léa Siliki,Central Midfield,26,3,France,Ligue 1,Stade Rennais FC,Portugal,Liga Portugal,GD Estoril Praia,0,FALSE
Julen Lobete,Centre-Forward,21,3,Spain,LaLiga,Celta de Vigo,Netherlands,Eredivisie,RKC Waalwijk,0,TRUE
Jacob Rasmussen,Centre-Back,25,3,Italy,Serie A,ACF Fiorentina,Netherlands,Eredivisie,Feyenoord Rotterdam,0,TRUE
Aaron Ramsey,Central Midfield,31,3,Italy,Serie A,Juventus FC,France,Ligue 1,OGC Nice,0,FALSE
