name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
Sergio Camello,Centre-Forward,21,3,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Rayo Vallecano,0,TRUE
Nahuel Bustos,Centre-Forward,24,3,England,Premier League,Manchester City,Brazil,Série A,São Paulo Futebol Clube,0,TRUE
Gonçalo Paciência,Centre-Forward,28,3,Germany,Bundesliga,Eintracht Frankfurt,Spain,LaLiga,Celta de Vigo,0,FALSE
Sam Lammers,Centre-Forward,25,3,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,0,TRUE
Neto,Goalkeeper,33,3,Spain,LaLiga,FC Barcelona,England,Premier League,AFC Bournemouth,0,FALSE
Gabriel Boschilia,Attacking Midfield,26,3,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,0,FALSE
Romário Baró,Central Midfield,22,3,Portugal,Liga Portugal,FC Porto,Portugal,Liga Portugal,Casa Pia AC,0,TRUE
Gabriel Vidovic,Attacking Midfield,18,3,Germany,Bundesliga,Bayern Munich,Netherlands,Eredivisie,Vitesse Arnhem,0,TRUE
Joe Bryan,Left-Back,28,3,England,Premier League,Fulham FC,France,Ligue 1,OGC Nice,0,TRUE
Manu Vallejo,Left Winger,25,3,Spain,LaLiga,Valencia CF,Spain,LaLiga,Girona FC,0,FALSE
Gustavo Henrique,Centre-Back,29,2.8,Brazil,Série A,Clube de Regatas do Flamengo,Turkey,Süper Lig,Fenerbahce,1.4,TRUE
Yvon Mvogo,Goalkeeper,28,2.8,Germany,Bundesliga,RB Leipzig,France,Ligue 1,FC Lorient,0,FALSE
Sean Klaiber,Right-Back,28,2.8,Netherlands,Eredivisie,Ajax Amsterdam,Netherlands,Eredivisie,FC Utrecht,0,FALSE
Fabio Depaoli,Right-Back,25,2.8,Italy,Serie A,UC Sampdoria,Italy,Serie A,Hellas Verona,0,TRUE
Armando Izzo,Centre-Back,30,2.8,Italy,Serie A,Torino FC,Italy,Serie A,AC Monza,0,TRUE
Pedro Pereira,Right-Back,24,2.3,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AC Monza,2.5,FALSE
Thijs Dallinga,Centre-Forward,21,1.1,Netherlands,Eredivisie,Excelsior Rotterdam,France,Ligue 1,FC Toulouse,2.5,FALSE
Marcus Ingvartsen,Centre-Forward,26,2.5,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,1.FSV Mainz 05,2.3,FALSE
Thomas Ouwejan,Left-Back,25,2.5,Netherlands,Eredivisie,AZ Alkmaar,Germany,Bundesliga,FC Schalke 04,2,FALSE
Rubén Alcaraz,Central Midfield,31,2.5,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,1,FALSE
Víctor Chust,Centre-Back,22,2.5,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,1,FALSE
Philipp Förster,Attacking Midfield,27,2.5,Germany,Bundesliga,VfB Stuttgart,Germany,Bundesliga,VfL Bochum,0.5,FALSE
Jonas Martin,Defensive Midfield,32,2.5,France,Ligue 1,Stade Rennais FC,France,Ligue 1,LOSC Lille,0,FALSE
Brian Oliván,Left-Back,28,2.5,Spain,LaLiga,RCD Mallorca,Spain,LaLiga,RCD Espanyol Barcelona,0,FALSE
Mathias Pereira Lage,Right Midfield,25,2.5,France,Ligue 1,Angers SCO,France,Ligue 1,Stade Brestois 29,0,FALSE
Gédéon Kalulu,Right-Back,24,2.5,France,Ligue 1,AC Ajaccio,France,Ligue 1,FC Lorient,0,FALSE
Rubén Peña,Right-Back,30,2.5,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,0,FALSE
Marcos Guilherme,Left Winger,26,2.5,Brazil,Série A,Sport Club Internacional,Brazil,Série A,São Paulo Futebol Clube,0,FALSE
Víctor Gómez,Right-Back,22,2.5,Spain,LaLiga,RCD Espanyol Barcelona,Portugal,Liga Portugal,SC Braga,0,TRUE
Iñigo Córdoba,Left Winger,25,2.5,Spain,LaLiga,Athletic Bilbao,Netherlands,Eredivisie,Fortuna Sittard,0,FALSE
Bruno Gomes,Defensive Midfield,21,2.5,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,0,TRUE
Diego Lainez,Right Winger,22,2.5,Spain,LaLiga,Real Betis Balompié,Portugal,Liga Portugal,SC Braga,0,TRUE
Gabriel Silva,Centre-Forward,20,2.5,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,CD Santa Clara,0,TRUE
Deyverson,Centre-Forward,31,2.5,Brazil,Série A,Sociedade Esportiva Palmeiras,Brazil,Série A,Cuiabá Esporte Clube (MT),0,FALSE
Gonzalo Escalante,Central Midfield,29,2.5,Italy,Serie A,SS Lazio,Italy,Serie A,US Cremonese,0,TRUE
Dominique Heintz,Centre-Back,28,2.5,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,VfL Bochum,0,TRUE
Antonio Candreva,Right Midfield,35,2.5,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,0,TRUE
Matheus Babi,Centre-Forward,25,2.5,Brazil,Série A,Club Athletico Paranaense,Portugal,Liga Portugal,CD Santa Clara,0,TRUE
Zouhair Feddal,Centre-Back,32,2.5,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,Real Valladolid CF,0,FALSE
José Carlos Lazo,Left Winger,26,2.5,Spain,LaLiga,UD Almería,Spain,LaLiga,RCD Espanyol Barcelona,0,FALSE
Fredrik Björkan,Left-Back,24,2.5,Germany,Bundesliga,Hertha BSC,Netherlands,Eredivisie,Feyenoord Rotterdam,0,TRUE
Yan Valery,Right-Back,23,2.5,England,Premier League,Southampton FC,France,Ligue 1,Angers SCO,0,FALSE
Toni Villa,Left Winger,27,2.5,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Girona FC,0,FALSE
Andrea Colpani,Central Midfield,23,2.4,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,0,FALSE
Danny da Costa,Right-Back,28,2.3,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,0,FALSE
Jure Balkovec,Left-Back,27,2.3,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Alanyaspor,0,FALSE
Pedro Pereira,Right-Back,24,2.3,Italy,Serie A,AC Monza,Turkey,Süper Lig,Alanyaspor,0,TRUE
Léo Duarte,Centre-Back,25,2.2,Italy,Serie A,AC Milan,Turkey,Süper Lig,Basaksehir FK,2,FALSE
Sebastian Polter,Centre-Forward,31,2.2,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,FC Schalke 04,1.5,FALSE
Lorenzo Pirola,Centre-Back,20,2.2,Italy,Serie A,Inter Milan,Italy,Serie A,US Salernitana 1919,0.9,TRUE
Milos Pantovic,Attacking Midfield,25,2.2,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FC Union Berlin,0,FALSE
Kjell Scherpen,Goalkeeper,22,2.2,England,Premier League,Brighton & Hove Albion,Netherlands,Eredivisie,Vitesse Arnhem,0,TRUE
Landry Dimata,Centre-Forward,24,2.2,Spain,LaLiga,RCD Espanyol Barcelona,Netherlands,Eredivisie,NEC Nijmegen,0,TRUE
Riccardo Ciervo,Left Winger,20,1.5,Italy,Serie A,AS Roma,Italy,Serie A,US Sassuolo,2,FALSE
Marcin Bulka,Goalkeeper,22,2,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,OGC Nice,2,FALSE
Zakaria Aboukhlal,Right Winger,22,2,Netherlands,Eredivisie,AZ Alkmaar,France,Ligue 1,FC Toulouse,2,FALSE
Ahmed Touba,Centre-Back,24,1,Netherlands,Eredivisie,RKC Waalwijk,Turkey,Süper Lig,Basaksehir FK,2,FALSE
Emre Mor,Right Winger,24,1.7,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Fenerbahce,2,FALSE
Alexsandro,Centre-Back,22,0.8,Portugal,Liga Portugal,GD Chaves,France,Ligue 1,LOSC Lille,2,FALSE
Emrecan Uzunhan,Centre-Back,21,0.525,Turkey,Süper Lig,Istanbulspor,Turkey,Süper Lig,Besiktas JK,2,FALSE
Dogucan Haspolat,Defensive Midfield,22,2,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Trabzonspor,1.2,FALSE
Tommaso Milanese,Central Midfield,19,2,Italy,Serie A,AS Roma,Italy,Serie A,US Cremonese,0.75,FALSE
Cenk Özkacar,Centre-Back,21,2,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Valencia CF,0.5,TRUE
Matous Trmal,Goalkeeper,23,2,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,CS Marítimo,0.05,TRUE
Jens Stryger Larsen,Right-Back,31,2,Italy,Serie A,Udinese Calcio,Turkey,Süper Lig,Trabzonspor,0,FALSE
Davide Bettella,Centre-Back,22,2,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,0,FALSE
Fraser Forster,Goalkeeper,34,2,England,Premier League,Southampton FC,England,Premier League,Tottenham Hotspur,0,FALSE
Cenk Tosun,Centre-Forward,31,2,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,0,FALSE
Gianluca Frabotta,Left-Back,23,2,Italy,Serie A,Juventus FC,Italy,Serie A,US Lecce,0,TRUE
Thiago Galhardo,Centre-Forward,32,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Fortaleza Esporte Clube,0,TRUE
Salvi Sánchez,Right Winger,31,2,Spain,LaLiga,Cádiz CF,Spain,LaLiga,Rayo Vallecano,0,FALSE
Mile Svilar,Goalkeeper,22,2,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AS Roma,0,FALSE
Xavi Quintillà,Left-Back,25,2,Spain,LaLiga,Villarreal CF,Portugal,Liga Portugal,CD Santa Clara,0,FALSE
Arturo Vidal,Central Midfield,35,2,Italy,Serie A,Inter Milan,Brazil,Série A,Clube de Regatas do Flamengo,0,FALSE
Abdulkadir Parmak,Central Midfield,27,2,Turkey,Süper Lig,Trabzonspor,Turkey,Süper Lig,Gaziantep FK,0,TRUE
Mikael,Centre-Forward,23,2,Italy,Serie A,US Salernitana 1919,Brazil,Série A,Sport Club Internacional,0,TRUE
Daniel Maldini,Attacking Midfield,20,2,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,0,TRUE
Rodrigo Riquelme,Right Winger,22,2,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Girona FC,0,TRUE
Nicolò Cambiaghi,Left Winger,21,2,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,0,TRUE
Luan,Attacking Midfield,29,2,Brazil,Série A,Sport Club Corinthians Paulista,Brazil,Série A,Santos FC,0,TRUE
Philippe Sandler,Centre-Back,25,2,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,NEC Nijmegen,0,FALSE
Samuel Umtiti,Centre-Back,28,2,Spain,LaLiga,FC Barcelona,Italy,Serie A,US Lecce,0,TRUE
Steven Caulker,Centre-Back,30,2,Turkey,Süper Lig,Fenerbahce,Turkey,Süper Lig,Fatih Karagümrük,0,FALSE
Youssouf Koné,Left-Back,27,2,France,Ligue 1,Olympique Lyon,France,Ligue 1,AC Ajaccio,0,TRUE
Jean-Daniel Akpa Akpro,Central Midfield,29,2,Italy,Serie A,SS Lazio,Italy,Serie A,FC Empoli,0,TRUE
Paulo Gazzaniga,Goalkeeper,30,2,England,Premier League,Fulham FC,Spain,LaLiga,Girona FC,0,TRUE
Bruno Amione,Centre-Back,20,2,Italy,Serie A,Hellas Verona,Italy,Serie A,UC Sampdoria,0,TRUE
Guilherme Castilho,Central Midfield,22,1,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série A,Ceará Sporting Club,1.8,FALSE
Konstantinos Stafylidis,Left-Back,28,1.8,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,VfL Bochum,0.25,FALSE
Aymen Barkok,Central Midfield,24,1.8,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,0,FALSE
Kévin Rodrigues,Left-Back,28,1.8,Spain,LaLiga,Real Sociedad,Turkey,Süper Lig,Adana Demirspor,0,FALSE
Carlens Arcus,Right-Back,26,1.8,France,Ligue 1,AJ Auxerre,Netherlands,Eredivisie,Vitesse Arnhem,0,FALSE
Vlad Chiriches,Centre-Back,32,1.8,Italy,Serie A,US Sassuolo,Italy,Serie A,US Cremonese,0,FALSE
Mesut Özil,Attacking Midfield,33,1.8,Turkey,Süper Lig,Fenerbahce,Turkey,Süper Lig,Basaksehir FK,0,FALSE
Kristoffer Askildsen,Central Midfield,21,1.8,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Lecce,0,TRUE
Filippo Ranocchia,Central Midfield,21,1.8,Italy,Serie A,Juventus FC,Italy,Serie A,AC Monza,0,TRUE
Peglow,Left Winger,20,1.8,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Atlético Clube Goianiense,0,TRUE
Jannes Horn,Left-Back,25,1.8,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,VfL Bochum,0,FALSE
David López,Centre-Back,32,1.8,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Girona FC,0,FALSE
Rodrigo Battaglia,Defensive Midfield,31,1.8,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,RCD Mallorca,0,FALSE
Emre Mor,Right Winger,24,1.7,Spain,LaLiga,Celta de Vigo,Turkey,Süper Lig,Fatih Karagümrük,0,FALSE
Mbaye Diagne,Centre-Forward,30,1.7,Turkey,Süper Lig,Galatasaray,Turkey,Süper Lig,Fatih Karagümrük,0,FALSE
Mert Cetin,Centre-Back,25,1.7,Italy,Serie A,Hellas Verona,Italy,Serie A,US Lecce,0,TRUE
Serdar Saatci,Centre-Back,19,1.6,Turkey,Süper Lig,Besiktas JK,Portugal,Liga Portugal,SC Braga,1.5,FALSE
Kevin Stöger,Attacking Midfield,28,1.6,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,VfL Bochum,0,FALSE
Bruno Jordão,Central Midfield,23,1.6,England,Premier League,Wolverhampton Wanderers,Portugal,Liga Portugal,CD Santa Clara,0,TRUE
Mehdi Bourabia,Central Midfield,30,0.9,Italy,Serie A,US Sassuolo,Italy,Serie A,Spezia Calcio,1.5,FALSE
Steffen Tigges,Centre-Forward,23,1.5,Germany,Bundesliga,Borussia Dortmund,Germany,Bundesliga,1. FC Köln,1.5,FALSE
Léo Baptistão,Second Striker,29,1.5,Brazil,Série A,Santos FC,Spain,LaLiga,UD Almería,1.5,FALSE
Samuel,Goalkeeper,28,1.5,Portugal,Liga Portugal,Portimonense SC,Portugal,Liga Portugal,FC Porto,1,FALSE
Ali Alipour,Centre-Forward,26,1.5,Portugal,Liga Portugal,CS Marítimo,Portugal,Liga Portugal,Gil Vicente FC,0,FALSE
Soner Aydogdu,Central Midfield,31,1.5,Turkey,Süper Lig,Basaksehir FK,Turkey,Süper Lig,Antalyaspor,0,FALSE
Ryan Fredericks,Right-Back,29,1.5,England,Premier League,West Ham United,England,Premier League,AFC Bournemouth,0,FALSE
Marçal,Left-Back,33,1.5,England,Premier League,Wolverhampton Wanderers,Brazil,Série A,Botafogo de Futebol e Regatas,0,FALSE
Ömer Toprak,Centre-Back,32,1.5,Germany,Bundesliga,SV Werder Bremen,Turkey,Süper Lig,Antalyaspor,0,FALSE
Pedrinho,Central Midfield,29,1.5,Portugal,Liga Portugal,Gil Vicente FC,Turkey,Süper Lig,MKE Ankaragücü,0,FALSE
Gabriel,Goalkeeper,29,1.5,Italy,Serie A,US Lecce,Brazil,Série A,Coritiba Foot Ball Club,0,FALSE
Burak Yilmaz,Centre-Forward,36,1.5,France,Ligue 1,LOSC Lille,Netherlands,Eredivisie,Fortuna Sittard,0,FALSE
Milan Djuric,Centre-Forward,32,1.5,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Hellas Verona,0,FALSE
Fernandinho,Defensive Midfield,37,1.5,England,Premier League,Manchester City,Brazil,Série A,Club Athletico Paranaense,0,FALSE
Clément Vidal,Centre-Back,22,1.5,France,Ligue 1,Montpellier HSC,France,Ligue 1,AC Ajaccio,0,FALSE
Maya Yoshida,Centre-Back,33,1.5,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,FC Schalke 04,0,FALSE
Steve Mandanda,Goalkeeper,37,1.5,France,Ligue 1,Olympique Marseille,France,Ligue 1,Stade Rennais FC,0,FALSE
Leonardo Sernicola,Left-Back,24,1.5,Italy,Serie A,US Sassuolo,Italy,Serie A,US Cremonese,0,FALSE
Mitchell Weiser,Right-Back,28,1.5,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,SV Werder Bremen,0,FALSE
Riad Bajić,Centre-Forward,28,1.5,Italy,Serie A,Udinese Calcio,Turkey,Süper Lig,Giresunspor,0,FALSE
Fede San Emeterio,Central Midfield,25,1.5,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,0,FALSE
Joel Robles,Goalkeeper,32,1.5,Spain,LaLiga,Real Betis Balompié,England,Premier League,Leeds United,0,FALSE
Mark Diemers,Central Midfield,28,1.5,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,FC Emmen,0,TRUE
Islam Slimani,Centre-Forward,34,1.5,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Stade Brestois 29,0,FALSE
Léo Sena,Defensive Midfield,26,1.5,Italy,Serie A,Spezia Calcio,Brazil,Série A,Goiás Esporte Clube,0,FALSE
Ante Palaversa,Central Midfield,22,1.5,England,Premier League,Manchester City,France,Ligue 1,ESTAC Troyes,0,FALSE
Matija Nastasić,Centre-Back,29,1.5,Italy,Serie A,ACF Fiorentina,Spain,LaLiga,RCD Mallorca,0,FALSE
Federico Fernández,Centre-Back,33,1.5,England,Premier League,Newcastle United,Spain,LaLiga,Elche CF,0,FALSE
Kerem Atakan Kesgin,Central Midfield,21,1,Turkey,Süper Lig,Sivasspor,Turkey,Süper Lig,Besiktas JK,1.4,FALSE
Muhammet Demir,Centre-Forward,30,1.4,Turkey,Süper Lig,Gaziantep FK,Turkey,Süper Lig,Konyaspor,0,FALSE
Kevin Varga,Left Winger,26,1.4,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Hatayspor,0,FALSE
Kenan Karaman,Centre-Forward,28,1.4,Turkey,Süper Lig,Besiktas JK,Germany,Bundesliga,FC Schalke 04,0,FALSE
Kingsley Ehizibue,Right-Back,27,1.3,Germany,Bundesliga,1. FC Köln,Italy,Serie A,Udinese Calcio,1,FALSE
Marcel Lotka,Goalkeeper,21,1.3,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,Borussia Dortmund,0,FALSE
Ahmet Oguz,Right-Back,29,1.3,Turkey,Süper Lig,Sivasspor,Turkey,Süper Lig,Konyaspor,0,FALSE
Natanael,Left-Back,31,1.3,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Avaí Futebol Clube (SC),0,FALSE
Nuno Da Costa,Centre-Forward,31,1.2,England,Premier League,Nottingham Forest,France,Ligue 1,AJ Auxerre,2,FALSE
Hugo Moura,Defensive Midfield,24,1,Brazil,Série A,Clube de Regatas do Flamengo,Brazil,Série A,Club Athletico Paranaense,1.2,FALSE
André Silva,Centre-Forward,25,1.2,Portugal,Liga Portugal,FC Arouca,Portugal,Liga Portugal,Vitória Guimarães SC,1,FALSE
Mame Diouf,Centre-Forward,34,1.2,Turkey,Süper Lig,Hatayspor,Turkey,Süper Lig,Konyaspor,0,FALSE
Luca Valzania,Central Midfield,26,1.2,Italy,Serie A,Atalanta BC,Italy,Serie A,US Cremonese,0,FALSE
Levent Mercan,Attacking Midfield,21,1.2,Germany,Bundesliga,FC Schalke 04,Turkey,Süper Lig,Fatih Karagümrük,0,FALSE
Robert Bozenik,Centre-Forward,22,1.2,Netherlands,Eredivisie,Feyenoord Rotterdam,Portugal,Liga Portugal,Boavista FC,0,TRUE
Oriol Busquets,Defensive Midfield,23,1.2,France,Ligue 1,Clermont Foot 63,Portugal,Liga Portugal,FC Arouca,0,FALSE
Isaac Sackey,Defensive Midfield,28,1.2,Turkey,Süper Lig,Hatayspor,Turkey,Süper Lig,Ümraniyespor,0,FALSE
N'Dri Philippe Koffi,Centre-Forward,20,1.2,France,Ligue 1,Stade Reims,Portugal,Liga Portugal,FC Paços de Ferreira,0,TRUE
Rúnar Alex Rúnarsson,Goalkeeper,27,1.2,England,Premier League,Arsenal FC,Turkey,Süper Lig,Alanyaspor,0,TRUE
Jens Toornstra,Attacking Midfield,33,1.2,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,FC Utrecht,0,FALSE
Tolga Cigerci,Defensive Midfield,30,1.1,Turkey,Süper Lig,Basaksehir FK,Turkey,Süper Lig,MKE Ankaragücü,0,FALSE
Dogan Erdogan,Defensive Midfield,25,1.1,Turkey,Süper Lig,Gaziantep FK,Netherlands,Eredivisie,Fortuna Sittard,0,FALSE
Willian Maranhão,Defensive Midfield,26,1.1,Brazil,Série A,Santos FC,Brazil,Série A,Atlético Clube Goianiense,0,TRUE
Aziz,Centre-Forward,23,1,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,Rio Ave FC,1,FALSE
Melle Meulensteen,Centre-Back,22,0.8,Netherlands,Eredivisie,RKC Waalwijk,Netherlands,Eredivisie,Vitesse Arnhem,1,FALSE
Rodrigo Guth,Centre-Back,21,0.75,Italy,Serie A,Atalanta BC,Netherlands,Eredivisie,Fortuna Sittard,1,FALSE
Luuk Brouwers,Defensive Midfield,24,1,Netherlands,Eredivisie,Go Ahead Eagles,Netherlands,Eredivisie,FC Utrecht,0.75,FALSE
Lucas Perri,Goalkeeper,24,1,Brazil,Série A,São Paulo Futebol Clube,Brazil,Série A,Botafogo de Futebol e Regatas,0.35,FALSE
Rayane Aabid,Central Midfield,30,1,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Hatayspor,0,FALSE
